	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight	from_title	to_title
1251	4811	UCoKGanMmrKj8RAqAwS5vRug	People & Blogs	"[""4811"", ""4812"", ""6126""]"	None	2	Lifestyle	UCZHfmiIPaWQSsKsEUg-_xpA	Entertainment	"[""4958""]"	BroadbandTV	3	Lifestyle	"[""-iAtyeNHPho"", ""4eDdHuojbdg"", ""55_iKfVE1rw"", ""6xAydhmxn3U"", ""A1c956XyAEE"", ""AcC3mK__pQg"", ""Ck5FY7qnGOk"", ""FWh0-ofuM44"", ""IKqbFvBu5Pw"", ""IVyrCuGsyws"", ""IrfenfE9MU0"", ""VDWpXpWlMMM"", ""XhYypsX8EaQ"", ""YId1K_XU4f0"", ""Ygw5ektFp_w"", ""cA18So8ZYNY"", ""d7B0-zltn24"", ""duFTZzXA9j8"", ""eUcar6sthpA"", ""eibZFBjhMdo"", ""h_1UThijwUs"", ""jlGniqDLurk"", ""mBJjU5jrXc8"", ""pkZCHpWUSNk"", ""qNRFACnxeY4"", ""xfdMcMgcmUA"", ""y48fn6QFCsM""]"	27	LandonProduction Vlogs	LandonProduction
567	7547	UCWAmNeFLUd2jg5nYlgUF-hA	Entertainment	"[""1458"", ""7547""]"	BroadbandTV	3	Technology	UCuFjMHqiRevCIGTWUi6rKhA	People & Blogs	"[""6483""]"	BroadbandTV	3	None	"[""31VmY7Evk3k"", ""4cECzN3TrnA"", ""5AzStnEuscY"", ""E5riMNfEr1I"", ""JSp7sk8s6k4"", ""KafLII2YGls"", ""MOeGyYiTfkY"", ""PxaTcuAkNkk"", ""TXiFrON5zCI"", ""UL-6ZV7Y_fU"", ""VYgMk-9dmf4"", ""XjDXCV2nWN8"", ""djEfJqjIaeM"", ""fOCMIfXnPMo"", ""h6ox9z5NtnQ"", ""m3Ec6crUXiE"", ""oq7Pr6zTZcE"", ""qm6gSPK-RaQ"", ""rsNPWXk5K-g"", ""sMTlvm-gbE8"", ""sZnOG-KMtIw"", ""uFbkPDEsVIU"", ""xI4d1FRrF4s"", ""xma1RJqdv7k"", ""zRaHgznDhyc""]"	25	AndroTube	CuriosYTube
356	5048	UCqjALWYAB9mx9G51481hp9Q	People & Blogs	"[""5048"", ""7111""]"	Maker Studios	2	Lifestyle	UCr74EVq0owJ5p_KRSUfZeCQ	How-to & Style	""""""	Maker Studios	3	Fashion	"[""0EsJ61iraEE"", ""6ToitYHHNRQ"", ""6vjDphJ4uOQ"", ""7CmHPusT1Kg"", ""Dx2MlIcjXD4"", ""GBIhNbC33HU"", ""KZCxYEYVu6Y"", ""Q9h3noiqpx4"", ""SgnxHduxHqo"", ""U6ajJk3ppdY"", ""W84CgwhuS6Q"", ""WceqUX218Fw"", ""YxPgpvilkME"", ""ZvGCtG_qJxM"", ""aQxhiFrk0Ys"", ""cpAGG98-Pzg"", ""iXRsnAHe2x8"", ""mNwfD8K-yys"", ""nCgP88Urujo"", ""p9ejFAeGRxA"", ""pOAXS9BGno8"", ""rMo4Slkz_JU"", ""ufooyHN96Pk"", ""w9cI_oApi6k"", ""z8tqFYVOERo""]"	25	Living Out Loud Vlog	FionaFrills
1528	7093	UCUXGFgupozBh278Nrue-cAw	People & Blogs	"[""5727"", ""5728"", ""7093""]"	BroadbandTV	3	Lifestyle	UC9aFSe6WyEiQD_PqsVHH1PA	Entertainment	""""""	BroadbandTV	4	Fashion	"[""39NH2p7M2Q0"", ""3ep7Thf9-jM"", ""4tc-p5IrT6M"", ""5BNLbviCaUs"", ""6d2q3YdUoUU"", ""8A_3nuVMN0c"", ""C-mf5czan4w"", ""E7yiUUSQwe4"", ""JzbzMKTMeWo"", ""L-sjHZjFPtY"", ""N8ppoxfvz_8"", ""NaeZ9aiOV3g"", ""OY6c-Le52b8"", ""SCO8VDvqZKY"", ""TY6rvORU0So"", ""Tkxx6MTFtVw"", ""gerTF6v4lcE"", ""h4PEfe7kCpc"", ""vnLyQBm_1NY"", ""wCnqAS0Ktgs"", ""xmK3wfoD5rY""]"	21	Matsura Vlog	Thais e Thalita Matsura
456	11464	UCfPhyExfcaqJBKc3HO3cNBw	News & Politics	"[""3916"", ""5428"", ""8794"", ""10663"", ""11464"", ""12825""]"	Studio71	4	Lifestyle	UCYmA2vTHngGpBGlxDWEFFtg	People & Blogs	""""""	Studio71	3	Lifestyle	"[""5PY94baTVAQ"", ""7cclfYwVoXE"", ""94lU2511dPs"", ""AhCnetfrAyA"", ""DKn9UFANGt8"", ""Fo4fY3F_Dkc"", ""Hfp8ZoKpFpc"", ""IJ3Xs8-yLXA"", ""NtBqPuE6Txw"", ""T54_9poGcaE"", ""VVq_iOLfbqg"", ""YbDP6H3FFcI"", ""a8ZKCS_FQyc"", ""b85bEzO4zVs"", ""cwrC625rnok"", ""fzxjvauxqfQ"", ""juvYCoz3914"", ""kWK8r0AdKZY"", ""qVFWDcW-LrQ"", ""t9aLhFm-PRY"", ""tu5VdwV8buk""]"	21	JustKiddingNews	Bart & Geo
1307	6136	UCwQSkyrft0ohf-ra21yIs9Q	Comedy	"[""6136""]"	Maker Studios	4	Lifestyle	UC1UHfW5LkMIlz6FHnEHbXlQ	Entertainment	"[""1590"", ""6192""]"	Maker Studios	4	Lifestyle	"[""2fYVQx1hfJc"", ""2zf2e0h1vRE"", ""5GUKl9YJPE8"", ""8eONUOBi1g8"", ""CXABiv6prYk"", ""FmgmOXHq2mw"", ""JkSdBqrkdMM"", ""K08Z6FlAouA"", ""R3av_I6jBOw"", ""Seqgvcnq-Dg"", ""US6zy6qN9v8"", ""UyKdxvc0xY4"", ""XBl7Xc5CXKQ"", ""aI0GMSlCq8A"", ""bnBPH26nECg"", ""j5IJAPKOEq4"", ""jQ2e7mayi_U"", ""m1HFlttMTNw"", ""nwckATELZH4"", ""oZQvXQeKxOM"", ""r9cAOqEwQwQ""]"	21	EU FICO LOKO	Christian Figueiredo
155	11983	UC_DVkYrg5uDDEjLHx4bStig	People & Blogs	"[""7077"", ""11983""]"	BroadbandTV	3	Hobby	UCVbPnm-qCjH-8Yl1-k4BQkA	People & Blogs	""""""	AIR	3	Hobby	"[""2pNzkiSPfqk"", ""6SQaOFbDEyM"", ""D84ntfl-8LA"", ""FxtgipU2c48"", ""Hggus5fBv_c"", ""Myq-QUDjVBA"", ""Qh3PMjwRRNM"", ""Sew145a5wAk"", ""Zh8-5Q3xDFU"", ""_8SfyenZbMY"", ""dEoAa_b98P4"", ""eHb-m9RHFtE"", ""g-YAnbfnjyU"", ""gABiA6W01pA"", ""iURruUb5mqA"", ""kmAEMI_-9yQ"", ""oFa9XpBeLGc"", ""ozeC-uc-Nt4"", ""vss1eK2Zbpc"", ""xCacqAOGXUI""]"	20	Nikol CrazyFamily	Я - Alisa
420	4111	UCTqyxaB74Cfedi9Ks7jrRKA	People & Blogs	"[""4111""]"	BroadbandTV	3	Lifestyle	UCdIkXoFYHWyOaKiQMo0qInQ	Entertainment	""""""	BroadbandTV	4	Fashion	"[""5Rg6JkclR7s"", ""5rR2pUl1HtQ"", ""7MBghYwdt9w"", ""8Q3CsWDeD10"", ""AjkOcFg0WLQ"", ""DYPuMdHOBUM"", ""J1Nld6fAYzs"", ""LX9p5-wKHjg"", ""NU4TgR9RId0"", ""PviEBsfvJZg"", ""_T_m2efLIVc"", ""_wXpUG6nx_o"", ""entEHyAtXYQ"", ""f5FMaMtKzlk"", ""g1geryMW_j8"", ""l5syi_jWjr4"", ""mG2Hyg5sCAY"", ""t07tDJ_zuRw"", ""z55ZNi4WhyA"", ""zKyYVSoUNgQ""]"	20	Thalita Vlog	Thalita Ferraz
861	3705	UCKjjmMqvuxNYw8c6knceexQ	Entertainment	"[""3705"", ""5826""]"	Maker Studios	4	Hobby	UC1xvP0LqUviUOxvchL5goSw	Education	"[""8970"", ""8971"", ""10688"", ""10905"", ""12679""]"	Maker Studios	4	Hobby	"[""1x718vj7hqA"", ""1yIo-dlHc-U"", ""2OvJUkLfQFY"", ""2p32Fr4q3zA"", ""AIQoRxpqDuk"", ""BJgpyOXzSJU"", ""EP0Nh3XC61A"", ""KXZVK8hWKRE"", ""NIgcHuIACMc"", ""OgwBl-j_ZJU"", ""Qf5nhwnH8-4"", ""_RfLDCNyPcY"", ""eF5mhnOJDSY"", ""h4KDj4GFUzM"", ""l_XNp5hV8LI"", ""pQzLpRZdN8I"", ""qsPBuzo1-No"", ""rfkfJxkzBBY"", ""u-gHTAHdOVA"", ""x8HlXqK5QLI""]"	20	DisneyCarToys	AllToyCollector
925	8824	UCN5Zf3Zyb9Bp9NeqtNwnc5w	Entertainment	"[""6967"", ""8823"", ""8824""]"	Maker Studios	4	Hobby	UCM1M7IQ6wN83MOyrOQaJeog	People & Blogs	""""""	None	1	Hobby	"[""6fgNxSr04w4"", ""9xDLpRBMos0"", ""CZ_-_Hl2cMY"", ""IGRWqkcoRYg"", ""SGcO_ADkvU8"", ""YUlfjgek23w"", ""ZPRtvJekKys"", ""bIAA7O3UKVg"", ""bToemmEb6n0"", ""fRt-qWpLzT4"", ""j7KZkfsEjkE"", ""kaIj5b0Azjk"", ""lJLWcFyxHEQ"", ""r76zKObCVPw"", ""r99QAsULmho"", ""s3B7B80G254"", ""si1aIjGKnCs"", ""u95cYXTbYKs"", ""zuh3XdLLb9A""]"	19	babyteeth4	Babyteeth More
